variable,type,non_missing_count,missing_count,missing_percent,unique_count
study_id,str,4644,0,0.00,4644
delivery_month,str,4631,13,0.28,31
delivery_year_quarter,str,4631,13,0.28,11
delivery_month_numeric,float64,4631,13,0.28,31
delivery_year,float64,4632,12,0.26,4
anemia_status,str,4644,0,0.00,2
anemia_severity,str,4644,0,0.00,4
pre_delivery_hemoglobin_g_dl,float64,4644,0,0.00,83
postpartum_6h_hemoglobin_g_dl,float64,4644,0,0.00,84
hemoglobin_drop_g_dl,float64,4644,0,0.00,53
hemoglobin_drop_recalculated_g_dl,float64,4644,0,0.00,53
hemoglobin_drop_difference_recorded_vs_recalculated_g_dl,int64,4644,0,0.00,1
postpartum_anemia_hb_lt_10,str,4644,0,0.00,2
postpartum_anemia_hb_lt_10_binary,int64,4644,0,0.00,2
postpartum_anemia_hb_lt_11,str,4644,0,0.00,2
postpartum_anemia_hb_lt_11_binary,int64,4644,0,0.00,2
weight_kg,float64,4644,0,0.00,106
height_cm,int64,4644,0,0.00,44
body_mass_index_kg_m2,float64,4644,0,0.00,1080
parity,int64,4644,0,0.00,8
gravidity_group,str,4644,0,0.00,2
grand_multiparity,str,4644,0,0.00,2
grand_multiparity_binary,int64,4644,0,0.00,2
number_of_fetuses,str,4644,0,0.00,3
plurality_group,str,4644,0,0.00,2
maternal_comorbidity,str,4644,0,0.00,102
maternal_comorbidity_raw_text_removed,str,4644,0,0.00,2
pregnancy_complication,str,4644,0,0.00,25
pregnancy_complication_raw_text_removed,str,4644,0,0.00,2
iron_use_during_pregnancy,str,4644,0,0.00,2
iron_use_during_pregnancy_binary,int64,4644,0,0.00,2
iv_ferric_carboxymaltose_use_during_pregnancy,str,4644,0,0.00,2
iv_ferric_carboxymaltose_use_during_pregnancy_binary,int64,4644,0,0.00,2
hemoglobin_before_iv_iron_g_dl,float64,16,4628,99.66,12
delivery_mode,str,4644,0,0.00,2
vaginal_delivery_subtype,str,4644,0,0.00,3
cesarean_indication,str,4644,0,0.00,36
cesarean_indication_raw_text_removed,str,4644,0,0.00,2
cord_clamping_group,str,4644,0,0.00,4
cord_clamping_delay_seconds,int64,4644,0,0.00,4
cord_clamping_guideline_category,str,4644,0,0.00,2
guideline_delayed_cord_clamping_ge_60s,str,4644,0,0.00,2
guideline_delayed_cord_clamping_ge_60s_binary,int64,4644,0,0.00,2
any_delayed_cord_clamping_ge_30s,str,4644,0,0.00,2
any_delayed_cord_clamping_ge_30s_binary,int64,4644,0,0.00,2
immediate_cord_clamping,str,4644,0,0.00,2
immediate_cord_clamping_binary,int64,4644,0,0.00,2
cord_clamping_delayed_30s,str,4644,0,0.00,2
cord_clamping_delayed_30s_binary,int64,4644,0,0.00,2
cord_clamping_delayed_60s,str,4644,0,0.00,2
cord_clamping_delayed_60s_binary,int64,4644,0,0.00,2
cord_clamping_delayed_120s,str,4644,0,0.00,2
cord_clamping_delayed_120s_binary,int64,4644,0,0.00,2
uterotonic_agent,str,4644,0,0.00,3
additional_uterotonic_used,str,4644,0,0.00,2
additional_uterotonic_used_binary,int64,4644,0,0.00,2
additional_uterotonic_type,str,4644,0,0.00,5
additional_surgical_suture_used,str,4643,1,0.02,2
additional_surgical_suture_used_binary,float64,4643,1,0.02,2
surgical_suture_type,str,4644,0,0.00,3
postpartum_hemorrhage,str,4644,0,0.00,2
postpartum_hemorrhage_binary,int64,4644,0,0.00,2
blood_transfusion_needed,str,4642,2,0.04,2
blood_transfusion_needed_binary,float64,4642,2,0.04,2
blood_transfusion_components,str,4644,0,0.00,14
qc_vaginal_delivery_with_source_cesarean_indication,str,4644,0,0.00,2
qc_unclear_uterotonic_agent,str,4644,0,0.00,2
qc_missing_or_invalid_delivery_date,str,4644,0,0.00,2
qc_cord_clamping_indicator_mismatch,str,4644,0,0.00,2
qc_cord_clamping_indicator_mismatch_fields,str,7,4637,99.85,3
